"","n","mu_pop","method","powerSS11","powerSS12","powerSSR11","powerSSR12","powerNS11","powerNS12","costSS11","costSS12","costSSR11","costSSR12","costNS11","costNS12","costSS11_Q025","costSS12_Q025","costSSR11_Q025","costSSR12_Q025","costNS11_Q025","costNS12_Q025","costSS11_Q975","costSS12_Q975","costSSR11_Q975","costSSR12_Q975","costNS11_Q975","costNS12_Q975","missSS11","missSS12","missSSR11","missSSR12","missNS11","missNS12"
"1",100,2.8,"KK",0.005,0.004,0.382,0.403,0.562,0.576,483.4,648.36,498.92,500.18,658,807,473.7,633.8,348.4,349.1,658,807,495.04,665,526.08,528.32,658,807,0,0,0.163,0.163,0,0
"2",100,2.8,"MF",0.022,0.041,0.553,0.578,0.553,0.57,650.44,857.2,687.88,694.36,956,1127,635.88,835.24,658.76,662.72,956,1127,667.132,879.16,721.264,730.633,956,1127,0,0,0.004,0.004,0,0
"3",100,2.8,"FP",0.004,0.008,0.001,0,0.231,0.202,633.26,876.6,500.52,501.56,992,1231,496,735,496,496,722,826,640.04,889.8,635.633,636.699,992,1231,0.302,0.091,0.963,0.963,0.302,0.302
"4",100,12.9499,"KK",0.025,0.097,0.565,0.592,0.608,0.632,522.2,704.52,580.4,584.6,658,807,504.74,683.72,545.48,548.42,658,807,539.66,725.32,615.32,620.78,658,807,0,0,0,0,0,0
"5",100,12.9499,"MF",0.109,0.29,0.577,0.606,0.603,0.629,702.44,1062.96,791.88,807.36,956,1127,683.72,1037.564,754.44,766.68,956,1127,721.16,1084.92,829.32,983.04,956,1127,0,0,0,0,0,0
"6",100,12.9499,"FP",0.011,0.009,0.093,0.077,0.495,0.528,642.3,899.7,527.64,534.92,992,1231,633.26,883.2,500.52,501.56,992,1231,653.6,919.5,671.68,681.04,992,1231,0.009,0.001,0.595,0.595,0.009,0.009
"7",100,49.7,"KK",0.232,0.433,0.628,0.645,0.628,0.655,574.58,893.6,685.16,693.14,658,807,557.0715,741.96,650.143,656.8595,658,807,595.92,912.32,727.84,872.36,658,807,0,0,0,0,0,0
"8",100,49.7,"MF",0.408,0.56,0.599,0.628,0.638,0.645,752.36,1114.2,891.72,1050.84,956,1127,733.64,1092.24,854.28,1010.16,956,1127,771.08,1133.72,929.16,1091.52,956,1127,0,0,0,0,0,0
"9",100,49.7,"FP",0.01,0.014,0.498,0.527,0.566,0.587,664.9,955.8,698.8,714.4,992,1231,649.08,929.3175,658.12,664.36,992,1231,680.72,978.9,730.44,753.32,992,1231,0,0,0.022,0.022,0,0
"10",100,124.7,"KK",0.492,0.603,0.686,0.699,0.672,0.674,605.62,920.64,747.24,892.46,658,807,590.1,904,716.2,860.3,658,807,621.14,935.2,778.28,924.62,658,807,0,0,0,0,0,0
"11",100,124.7,"MF",0.54,0.63,0.645,0.66,0.63,0.654,781.48,1136.16,949.96,1114.12,956,1127,762.76,1121.52,912.52,1073.44,956,1127,928.96,1285.8,1109.92,1141.24,956,1127,0,0,0,0,0,0
"12",100,124.7,"FP",0.035,0.1,0.535,0.55,0.609,0.622,694.28,1143.6,757.56,786.68,992,1231,676.2,978.9,721.4,742.2,992,1231,712.4165,1176.6,793.833,831.299,992,1231,0,0,0,0,0,0
"13",110,2.8,"KK",0.008,0.008,0.388,0.405,0.561,0.591,504.74,673.32,526.08,527.62,696.8,847.2,493.1,656.68,371.68,372.52,696.8,847.2,518.32,689.96,553.24,555.76,696.8,847.2,0,0,0.134,0.134,0,0
"14",110,2.8,"MF",0.011,0.026,0.55,0.558,0.603,0.62,675.4,886.48,717,724.2,997.6,1172.2,658.76,864.459,683.72,688.04,997.6,1172.2,692.04,910.88,750.28,760.36,997.6,1172.2,0,0,0.002,0.002,0,0
"15",110,2.8,"FP",0.009,0.008,0.001,0,0.283,0.256,655.86,909.6,523.12,524.16,1037.2,1286.6,518.6,768,518.6,518.6,767.2,881.6,662.64,922.8,658.12,659.16,1037.2,1286.6,0.279,0.073,0.97,0.97,0.279,0.279
"16",110,12.9499,"KK",0.009,0.065,0.576,0.59,0.6,0.621,547.42,735.72,611.44,616.06,696.8,847.2,531.9,714.92,580.4,583.9,696.8,847.2,564.88,756.52,646.36,652.24,696.8,847.2,0,0,0,0,0,0
"17",110,12.9499,"MF",0.114,0.272,0.598,0.618,0.622,0.646,731.56,1102,829.32,846.24,997.6,1172.2,710.76,1077.6,787.72,801.04,997.6,1172.2,752.36,1126.4,870.92,1026.44,997.6,1172.2,0,0,0,0,0,0
"18",110,12.9499,"FP",0.007,0.003,0.115,0.085,0.508,0.52,664.9,936,554.76,563.08,1037.2,1286.6,658.12,916.2,527.64,529.72,1037.2,1286.6,676.2565,959.1,698.8,709.2,1037.2,1286.6,0.007,0,0.567,0.567,0.007,0.007
"19",110,49.7,"KK",0.238,0.441,0.641,0.665,0.668,0.681,605.62,928.96,727.84,736.66,696.8,847.2,586.22,910.24,689.04,696.46,696.8,847.2,625.02,947.68,766.64,911.86,696.8,847.2,0,0,0,0,0,0
"20",110,49.7,"MF",0.398,0.565,0.636,0.66,0.644,0.651,787.72,1158.12,941.64,1103.28,997.6,1172.2,766.868,1138.6,899.936,1057.967,997.6,1172.2,808.52,1312.64,983.24,1148.48,997.6,1172.2,0,0,0,0,0,0
"21",110,49.7,"FP",0.007,0.011,0.505,0.544,0.548,0.577,689.76,995.4,725.92,742.56,1037.2,1286.6,676.2,965.7,694.28,703.64,1037.2,1286.6,707.84,1025.1,762.08,787.04,1037.2,1286.6,0,0,0.015,0.015,0,0
"22",110,124.7,"KK",0.491,0.614,0.687,0.699,0.686,0.698,640.54,958.08,797.68,944.02,696.8,847.2,623.0315,941.44,762.663,907.7395,696.8,847.2,658,974.72,832.6,980.2,696.8,847.2,0,0,0,0,0,0
